county,pop
06099,490349
06057,66176
06069,8097
06093,46281
06095,383215
06051,25842
06011,14664
06013,1050975
06015,22935
06017,174631
06115,106539
06019,702285
06053,348043
06111,879214
06035,22022
06113,200418
06077,645072
06039,174018
06073,2765935
06071,2057783
06055,89565
06031,60487
06037,8685309
06079,242702
06091,2664
06101,107642
06029,636569
06105,12769
06089,139365
06087,264012
06085,1802412
06083,367322
06067,1279683
06081,668582
06043,21453
06005,27054
06075,644740
06003,1040
06001,1129515
06109,51852
06107,537190
06097,473956
06103,140377
06009,38487
06059,2837510
06065,1766665
06007,129202
06041,227776
06047,236147
06063,23035
06045,82708
06021,12141
06023,116896
06025,141778
06027,3269
41037,548
06033,47110
06061,338101
06049,6102
